"","TYPE","YEAR","MONTH","Freq"
"1","Break and Enter Commercial","2003","1",303
"12","Break and Enter Commercial","2004","1",216
"23","Break and Enter Commercial","2005","1",193
"34","Break and Enter Commercial","2006","1",277
"45","Break and Enter Commercial","2007","1",290
"56","Break and Enter Commercial","2008","1",201
"67","Break and Enter Commercial","2009","1",179
"78","Break and Enter Commercial","2010","1",126
"89","Break and Enter Commercial","2011","1",149
"100","Break and Enter Commercial","2012","1",156
"111","Break and Enter Commercial","2013","1",136
"122","Break and Enter Commercial","2014","1",185
"133","Break and Enter Commercial","2015","1",228
"144","Break and Enter Commercial","2016","1",259
"155","Break and Enter Commercial","2017","1",161
"166","Break and Enter Commercial","2003","2",254
"177","Break and Enter Commercial","2004","2",256
"188","Break and Enter Commercial","2005","2",211
"199","Break and Enter Commercial","2006","2",209
"210","Break and Enter Commercial","2007","2",174
"221","Break and Enter Commercial","2008","2",192
"232","Break and Enter Commercial","2009","2",152
"243","Break and Enter Commercial","2010","2",109
"254","Break and Enter Commercial","2011","2",143
"265","Break and Enter Commercial","2012","2",118
"276","Break and Enter Commercial","2013","2",155
"287","Break and Enter Commercial","2014","2",163
"298","Break and Enter Commercial","2015","2",187
"309","Break and Enter Commercial","2016","2",206
"320","Break and Enter Commercial","2017","2",183
"331","Break and Enter Commercial","2003","3",292
"342","Break and Enter Commercial","2004","3",275
"353","Break and Enter Commercial","2005","3",204
"364","Break and Enter Commercial","2006","3",241
"375","Break and Enter Commercial","2007","3",214
"386","Break and Enter Commercial","2008","3",243
"397","Break and Enter Commercial","2009","3",151
"408","Break and Enter Commercial","2010","3",159
"419","Break and Enter Commercial","2011","3",139
"430","Break and Enter Commercial","2012","3",165
"441","Break and Enter Commercial","2013","3",195
"452","Break and Enter Commercial","2014","3",184
"463","Break and Enter Commercial","2015","3",192
"474","Break and Enter Commercial","2016","3",246
"485","Break and Enter Commercial","2017","3",224
"496","Break and Enter Commercial","2003","4",266
"507","Break and Enter Commercial","2004","4",289
"518","Break and Enter Commercial","2005","4",154
"529","Break and Enter Commercial","2006","4",241
"540","Break and Enter Commercial","2007","4",192
"551","Break and Enter Commercial","2008","4",186
"562","Break and Enter Commercial","2009","4",136
"573","Break and Enter Commercial","2010","4",143
"584","Break and Enter Commercial","2011","4",118
"595","Break and Enter Commercial","2012","4",155
"606","Break and Enter Commercial","2013","4",177
"617","Break and Enter Commercial","2014","4",199
"628","Break and Enter Commercial","2015","4",179
"639","Break and Enter Commercial","2016","4",219
"650","Break and Enter Commercial","2017","4",184
"661","Break and Enter Commercial","2003","5",291
"672","Break and Enter Commercial","2004","5",254
"683","Break and Enter Commercial","2005","5",201
"694","Break and Enter Commercial","2006","5",271
"705","Break and Enter Commercial","2007","5",187
"716","Break and Enter Commercial","2008","5",196
"727","Break and Enter Commercial","2009","5",185
